OrderID,FY,ItemName,Category,Quantity,UnitPrice,TotalPrice,OrderStatus,OrderDate,ReceivingCountry,POC
1011,2025,MRE (Case),Supplies,18491,150.00,2773650.00,Pending,2025-05-18,Ukraine,"Andriy Kovalenko: (910) 555-5807"
1012,2025,9mm Luger,Ammunition,4886657,0.35,1710329.95,Pending,2025-06-03,Israel,"Talia Levi: (212) 555-3221"
1013,2025,M4 Carbine,Weapon System,1347,1200.00,1616400.00,Pending,2025-01-26,Israel,"Avi Cohen: (212) 555-5246"
1014,2024,M17 Pistol,Weapon System,2666,650.00,1732900.00,Completed,2023-11-23,Ukraine,"Serhiy Melnyk: (910) 555-2125"
1015,2023,5.56mm NATO,Ammunition,4301548,0.50,2150774.00,Completed,2023-01-09,Israel,"Noam Katz: (212) 555-4120"
1016,2025,Javelin Missile System,Weapon System,28,175000.00,4900000.00,Pending,2025-03-08,Ukraine,"Yulia Kovalenko: (910) 555-8814"
1017,2025,M17 Pistol,Weapon System,3329,650.00,2163850.00,Forecasted,2025-09-02,Israel,"Shira Levi: (212) 555-1987"
1018,2024,M249 SAW,Weapon System,345,8000.00,2760000.00,Completed,2024-03-01,Ukraine,"Olena Shevchenko: (910) 555-4309"
1019,2026,GMLRS Rocket,Ammunition,322,160000.00,51520000.00,Forecasted,2026-06-18,Ukraine,"Andriy Melnyk: (910) 555-6718"
1020,2023,Night Vision Goggles (NVG),Supplies,1292,3500.00,4522000.00,Completed,2023-08-01,Israel,"Talia Mizrahi: (212) 555-7834"
1021,2025,M4 Carbine,Weapon System,4562,1200.00,5474400.00,Pending,2025-01-14,Ukraine,"Yulia Ivanova: (910) 555-2344"
1022,2025,MRE (Case),Supplies,7187,150.00,1078050.00,Pending,2024-12-07,Israel,"Noam Katz: (212) 555-1198"
1023,2023,M4 Carbine,Weapon System,2420,1200.00,2904000.00,Completed,2023-09-17,Israel,"Avi Cohen: (212) 555-9821"
1024,2024,MRE (Case),Supplies,18128,150.00,2719200.00,Completed,2024-03-24,Israel,"Talia Levi: (212) 555-8745"
1025,2025,First Aid Kit (IFAK),Supplies,24424,75.00,1831800.00,Pending,2025-07-09,Australia,"Chloe Williams: (315) 555-7142"
1026,2025,Communication Radio,Supplies,3924,1500.00,5886000.00,Pending,2024-12-25,Ukraine,"Andriy Shevchenko: (910) 555-3301"
1027,2025,Body Armor Set,Supplies,8781,800.00,7024800.00,Forecasted,2025-08-22,UAE,"Fatima Al-Nahyan: (202) 555-1201"
1028,2024,M249 SAW,Weapon System,418,8000.00,3344000.00,Completed,2024-05-19,Israel,"Shira Cohen: (212) 555-6675"
1029,2025,M4 Carbine,Weapon System,4848,1200.00,5817600.00,Pending,2025-05-18,Israel,"Noam Mizrahi: (212) 555-2187"
1030,2023,M17 Pistol,Weapon System,3729,650.00,2423850.00,Completed,2023-06-25,Israel,"Avi Mizrahi: (212) 555-9003"
1031,2023,Night Vision Goggles (NVG),Supplies,601,3500.00,2103500.00,Completed,2023-04-18,Poland,"Katarzyna Nowak: (571) 555-4428"
1032,2025,M4 Carbine,Weapon System,4728,1200.00,5673600.00,Pending,2025-04-14,Israel,"Noam Katz: (212) 555-5813"
1033,2025,5.56mm NATO,Ammunition,148486,0.50,74243.00,Pending,2025-06-21,Ukraine,"Serhiy Melnyk: (910) 555-1947"
1034,2025,Javelin Missile System,Weapon System,15,175000.00,2625000.00,Pending,2025-03-24,Ukraine,"Olena Ivanova: (910) 555-6734"
1035,2023,155mm Artillery Shell,Ammunition,5485,3000.00,16455000.00,Completed,2023-01-20,Ukraine,"Serhiy Shevchenko: (910) 555-8219"
1036,2024,First Aid Kit (IFAK),Supplies,18118,75.00,1358850.00,Completed,2024-04-20,Israel,"Shira Katz: (212) 555-3141"
1037,2025,First Aid Kit (IFAK),Supplies,10729,75.00,804675.00,Pending,2025-04-03,Israel,"Avi Levi: (212) 555-7788"
1038,2025,M17 Pistol,Weapon System,4378,650.00,2845700.00,Pending,2025-01-29,Ukraine,"Yulia Shevchenko: (910) 555-5021"
1039,2026,M17 Pistol,Weapon System,3014,650.00,1959100.00,Forecasted,2025-11-20,Israel,"Talia Mizrahi: (212) 555-6349"
1040,2026,.50 BMG,Ammunition,72288,4.50,325296.00,Forecasted,2026-09-02,Ukraine,"Andriy Kovalenko: (910) 555-2887"
1041,2025,9mm Luger,Ammunition,193427,0.35,67699.45,Pending,2025-04-11,Qatar,"Jassim Al-Thani: (202) 555-8910"
1042,2023,M4 Carbine,Weapon System,4916,1200.00,5899200.00,Completed,2023-02-19,Israel,"Shira Cohen: (212) 555-3759"
1043,2025,MRE (Case),Supplies,10710,150.00,1606500.00,Pending,2025-05-10,Israel,"Talia Levi: (212) 555-6123"
1044,2024,First Aid Kit (IFAK),Supplies,24467,75.00,1835025.00,Completed,2024-04-26,Ukraine,"Andriy Melnyk: (910) 555-7764"
1045,2023,9mm Luger,Ammunition,4839618,0.35,1693866.30,Completed,2023-05-18,Ukraine,"Olena Ivanova: (910) 555-8312"
1046,2024,5.56mm NATO,Ammunition,4220790,0.50,2110395.00,Completed,2024-04-29,Israel,"Avi Katz: (212) 555-2501"
1047,2025,M4 Carbine,Weapon System,295,1200.00,354000.00,Pending,2024-11-24,Israel,"Noam Cohen: (212) 555-9345"
1048,2023,M17 Pistol,Weapon System,4789,650.00,3112850.00,Completed,2023-01-08,UK,"Emily Smith: (202) 555-6781"
1049,2024,.50 BMG,Ammunition,92983,4.50,418423.50,Completed,2023-11-26,Israel,"Talia Mizrahi: (212) 555-4100"
1050,2025,HIMARS Launcher,Weapon System,18,5100000.00,91800000.00,Pending,2025-01-09,Poland,"Adam Lis: (571) 555-8832"
1051,2023,155mm Artillery Shell,Ammunition,6847,3000.00,20541000.00,Completed,2022-12-11,Ukraine,"Yulia Kovalenko: (910) 555-3917"
1052,2023,First Aid Kit (IFAK),Supplies,15011,75.00,1125825.00,Completed,2023-07-28,Israel,"Shira Mizrahi: (212) 555-7521"
1053,2024,Body Armor Set,Supplies,3325,800.00,2660000.00,Completed,2024-05-02,Ukraine,"Andriy Shevchenko: (910) 555-6688"
1054,2023,GMLRS Rocket,Ammunition,450,160000.00,72000000.00,Completed,2023-09-11,Ukraine,"Serhiy Ivanova: (910) 555-1239"
1055,2025,155mm Artillery Shell,Ammunition,9989,3000.00,29967000.00,Forecasted,2025-08-27,Ukraine,"Olena Kovalenko: (910) 555-4990"
1056,2025,9mm Luger,Ammunition,364530,0.35,127585.50,Pending,2025-05-01,New Zealand,"Zoe Anderson: (315) 555-3211"
1057,2025,M4 Carbine,Weapon System,4638,1200.00,5565600.00,Pending,2024-10-25,Saudi Arabia,"Fahad Al-Fahd: (202) 555-7134"
1058,2024,M17 Pistol,Weapon System,4564,650.00,2966600.00,Completed,2023-11-20,Israel,"Avi Cohen: (212) 555-8810"
1059,2024,M4 Carbine,Weapon System,395,1200.00,474000.00,Completed,2024-01-20,Israel,"Noam Katz: (212) 555-6432"
1060,2024,M4 Carbine,Weapon System,2581,1200.00,3097200.00,Completed,2024-08-16,Israel,"Talia Levi: (212) 555-9018"
1061,2024,First Aid Kit (IFAK),Supplies,49187,75.00,3689025.00,Completed,2024-03-23,Israel,"Shira Mizrahi: (212) 555-4477"
1062,2023,M4 Carbine,Weapon System,4910,1200.00,5892000.00,Completed,2023-01-09,Israel,"Avi Katz: (212) 555-5593"
1063,2024,Body Armor Set,Supplies,7733,800.00,6186400.00,Completed,2023-10-22,Ukraine,"Andriy Shevchenko: (910) 555-1152"
